Class,CapShape,CapSurface,CapColor,Bruises,Odor,GillAttachment,GillSpacing,GillSize,GillColor,StalkShape,StalkRoot,StalkSurfaceAboveRing,StalkSurfaceBelowRing,StalkColorAboveRing,StalkColorBelowRing,VeilType,VeilColor,RingNumber,RingType,SporePrintColor,Population,Habitat
edible,convex,scaly,yellow,TRUE,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,numerous,meadows
edible,convex,scaly,white,TRUE,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,numerous,meadows
edible,flat,fibrous,brown,FALSE,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,o,pendant,black,solitary,urban
edible,convex,smooth,yellow,TRUE,almond,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,white,white,partial,white,o,pendant,brown,several,woods
edible,bell,smooth,yellow,TRUE,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,numerous,meadows
poisonous,convex,scaly,white,TRUE,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,o,pendant,brown,scattered,urban
edible,convex,scaly,yellow,TRUE,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,numerous,meadows
edible,convex,scaly,brown,TRUE,anise,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,partial,white,o,pendant,brown,solitary,paths
edible,bell,scaly,yellow,TRUE,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,scattered,meadows
edible,convex,fibrous,yellow,TRUE,anise,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,partial,white,o,pendant,brown,several,woods
edible,sunken,fibrous,gray,FALSE,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,o,pendant,black,several,urban
poisonous,convex,scaly,brown,TRUE,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,partial,white,o,pendant,brown,scattered,urban
edible,convex,fibrous,yellow,TRUE,almond,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white,partial,white,o,pendant,brown,several,woods
edible,bell,smooth,yellow,TRUE,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,black,scattered,meadows
edible,bell,scaly,yellow,TRUE,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,scattered,grasses
edible,convex,scaly,yellow,TRUE,anise,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,partial,white,o,pendant,black,solitary,paths
edible,convex,fibrous,brown,FALSE,none,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,partial,white,o,pendant,black,solitary,urban
poisonous,convex,scaly,white,TRUE,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,o,pendant,brown,several,grasses
edible,convex,smooth,yellow,TRUE,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,black,numerous,meadows
edible,convex,scaly,white,TRUE,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,numerous,grasses
edible,convex,scaly,yellow,TRUE,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,black,scattered,meadows
edible,convex,smooth,white,TRUE,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,numerous,meadows
edible,convex,scaly,yellow,TRUE,anise,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,partial,white,o,pendant,brown,scattered,paths
edible,flat,scaly,yellow,TRUE,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,partial,white,o,pendant,black,scattered,paths
edible,convex,scaly,brown,TRUE,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,partial,white,o,pendant,black,scattered,grasses
edible,convex,smooth,white,TRUE,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,black,scattered,grasses
edible,bell,smooth,white,TRUE,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,numerous,meadows
poisonous,convex,scaly,brown,TRUE,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,o,pendant,brown,several,urban
poisonous,convex,smooth,white,TRUE,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,o,pendant,black,several,urban
edible,bell,scaly,yellow,TRUE,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,black,scattered,meadows
edible,flat,fibrous,gray,FALSE,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,partial,white,o,evanescent,brown,abundant,grasses
edible,bell,smooth,white,TRUE,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,numerous,grasses
edible,convex,smooth,yellow,TRUE,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,black,numerous,grasses
edible,convex,scaly,brown,TRUE,almond,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,partial,white,o,pendant,black,solitary,paths
edible,sunken,fibrous,gray,FALSE,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,o,pendant,brown,several,urban
edible,bell,scaly,yellow,TRUE,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,scattered,meadows
edible,bell,smooth,yellow,TRUE,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,scattered,meadows
edible,bell,scaly,yellow,TRUE,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,numerous,meadows
edible,bell,scaly,white,TRUE,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,scattered,grasses
edible,flat,smooth,brown,FALSE,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,partial,white,o,evanescent,black,abundant,grasses
edible,convex,smooth,white,TRUE,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,black,scattered,grasses
edible,flat,scaly,yellow,TRUE,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,partial,white,o,pendant,brown,scattered,grasses
edible,convex,scaly,yellow,TRUE,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,black,numerous,grasses
edible,convex,fibrous,gray,FALSE,none,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,o,pendant,brown,several,urban
edible,flat,fibrous,yellow,TRUE,anise,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white,partial,white,o,pendant,brown,several,woods
edible,bell,scaly,white,TRUE,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,scattered,meadows
edible,flat,fibrous,yellow,TRUE,anise,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,partial,white,o,pendant,brown,several,woods
edible,convex,scaly,brown,TRUE,almond,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,partial,white,o,pendant,black,scattered,paths
edible,bell,smooth,yellow,TRUE,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,black,scattered,grasses
edible,flat,smooth,yellow,TRUE,anise,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white,partial,white,o,pendant,brown,several,woods
edible,convex,smooth,white,TRUE,anise,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,white,white,partial,white,o,pendant,purple,several,woods
edible,flat,scaly,brown,TRUE,anise,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,partial,white,o,pendant,brown,solitary,paths
poisonous,convex,scaly,brown,TRUE,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,partial,white,o,pendant,brown,several,urban
edible,flat,scaly,brown,TRUE,almond,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,partial,white,o,pendant,brown,solitary,grasses
edible,convex,smooth,brown,FALSE,none,free,crowded,broad,black,tapering,equal,fibrous,smooth,white,white,partial,white,o,evanescent,brown,scattered,grasses
poisonous,convex,scaly,white,TRUE,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,partial,white,o,pendant,black,scattered,grasses
edible,flat,fibrous,gray,FALSE,none,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,o,pendant,brown,solitary,urban
edible,convex,fibrous,gray,FALSE,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,partial,white,o,evanescent,brown,scattered,grasses
edible,convex,scaly,yellow,TRUE,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,partial,white,o,pendant,black,scattered,grasses
edible,convex,smooth,brown,FALSE,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,partial,white,o,evanescent,black,scattered,grasses
edible,bell,smooth,white,TRUE,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,black,scattered,grasses
edible,convex,smooth,white,TRUE,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,scattered,grasses
edible,flat,scaly,brown,TRUE,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,partial,white,o,pendant,black,solitary,grasses
edible,sunken,fibrous,brown,FALSE,none,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,o,pendant,brown,several,urban
edible,convex,fibrous,brown,FALSE,none,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,o,pendant,brown,solitary,urban
edible,bell,smooth,white,TRUE,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,black,scattered,grasses
edible,convex,scaly,yellow,TRUE,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,black,scattered,grasses
edible,convex,scaly,yellow,TRUE,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,black,numerous,meadows
edible,convex,smooth,brown,FALSE,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,partial,white,o,evanescent,brown,abundant,grasses
edible,convex,smooth,white,TRUE,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,scattered,grasses
edible,flat,scaly,brown,TRUE,anise,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,partial,white,o,pendant,brown,scattered,grasses
edible,convex,smooth,yellow,TRUE,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,black,numerous,grasses
edible,bell,smooth,white,TRUE,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,scattered,grasses
edible,convex,scaly,white,TRUE,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,black,scattered,grasses
edible,convex,fibrous,brown,FALSE,none,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,partial,white,o,evanescent,black,scattered,grasses
edible,bell,smooth,yellow,TRUE,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,black,numerous,grasses
edible,flat,scaly,yellow,TRUE,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,partial,white,o,pendant,brown,scattered,grasses
edible,convex,scaly,yellow,TRUE,almond,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,partial,white,o,pendant,black,solitary,paths
edible,bell,scaly,white,TRUE,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,numerous,grasses
edible,convex,scaly,yellow,TRUE,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,black,numerous,meadows
edible,convex,scaly,yellow,TRUE,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,partial,white,o,pendant,brown,solitary,grasses
edible,bell,scaly,white,TRUE,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,black,scattered,meadows
edible,bell,scaly,white,TRUE,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,scattered,meadows
edible,convex,smooth,yellow,TRUE,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,black,numerous,meadows
edible,convex,smooth,yellow,TRUE,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,black,numerous,grasses
edible,sunken,fibrous,gray,FALSE,none,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,partial,white,o,pendant,black,solitary,urban
edible,convex,fibrous,white,TRUE,almond,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,partial,white,o,pendant,purple,several,woods
edible,convex,smooth,yellow,TRUE,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,black,numerous,meadows
poisonous,convex,scaly,white,TRUE,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,o,pendant,brown,several,urban
edible,convex,scaly,yellow,TRUE,anise,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,partial,white,o,pendant,brown,scattered,grasses
edible,sunken,fibrous,gray,FALSE,none,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,o,pendant,brown,solitary,urban
edible,convex,scaly,yellow,TRUE,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,partial,white,o,pendant,black,solitary,grasses
edible,convex,smooth,yellow,TRUE,anise,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white,partial,white,o,pendant,purple,several,woods
edible,sunken,fibrous,brown,FALSE,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,o,pendant,brown,solitary,urban
poisonous,convex,smooth,white,TRUE,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,o,pendant,black,several,grasses
edible,convex,scaly,white,TRUE,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,numerous,meadows
poisonous,flat,scaly,brown,TRUE,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,o,pendant,black,several,grasses
edible,flat,smooth,gray,FALSE,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,partial,white,o,evanescent,brown,abundant,grasses
edible,convex,smooth,yellow,TRUE,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,scattered,meadows
edible,convex,smooth,white,FALSE,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,partial,white,o,evanescent,black,scattered,grasses
edible,bell,smooth,yellow,TRUE,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,numerous,grasses
edible,flat,fibrous,gray,FALSE,none,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white,partial,white,o,evanescent,brown,abundant,grasses
edible,convex,smooth,white,TRUE,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,black,numerous,grasses
edible,bell,smooth,white,TRUE,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,scattered,meadows
edible,bell,smooth,white,TRUE,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,scattered,grasses
edible,bell,scaly,white,TRUE,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,scattered,meadows
edible,flat,smooth,white,TRUE,anise,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,partial,white,o,pendant,purple,several,woods
edible,convex,scaly,yellow,TRUE,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,black,scattered,meadows
edible,flat,smooth,white,TRUE,almond,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white,partial,white,o,pendant,brown,several,woods
poisonous,convex,scaly,white,TRUE,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,partial,white,o,pendant,brown,several,urban
edible,flat,fibrous,white,TRUE,anise,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,partial,white,o,pendant,brown,several,woods
edible,convex,scaly,yellow,TRUE,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,scattered,grasses
poisonous,convex,smooth,brown,TRUE,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,o,pendant,brown,several,grasses
edible,bell,smooth,yellow,TRUE,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,numerous,grasses
edible,convex,scaly,brown,TRUE,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,partial,white,o,pendant,black,solitary,paths
edible,bell,scaly,yellow,TRUE,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,black,numerous,meadows
edible,sunken,fibrous,brown,FALSE,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,o,pendant,brown,several,urban
edible,flat,scaly,brown,TRUE,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,partial,white,o,pendant,black,solitary,paths
edible,convex,scaly,yellow,TRUE,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,black,numerous,grasses
edible,convex,fibrous,gray,FALSE,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,white,o,evanescent,black,scattered,grasses
edible,flat,fibrous,white,FALSE,none,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,partial,white,o,evanescent,brown,abundant,grasses
edible,convex,scaly,yellow,TRUE,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,numerous,meadows
edible,bell,smooth,yellow,TRUE,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,black,numerous,grasses
edible,bell,scaly,white,TRUE,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,black,numerous,meadows
edible,convex,scaly,white,TRUE,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,scattered,grasses
edible,convex,smooth,brown,FALSE,none,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,partial,white,o,evanescent,brown,abundant,grasses
edible,convex,scaly,white,TRUE,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,scattered,grasses
edible,sunken,fibrous,brown,FALSE,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,o,pendant,black,several,urban
edible,convex,smooth,white,TRUE,almond,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,partial,white,o,pendant,purple,several,woods
edible,convex,scaly,brown,TRUE,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,partial,white,o,pendant,black,scattered,grasses
edible,bell,scaly,yellow,TRUE,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,numerous,grasses
edible,convex,scaly,white,TRUE,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,numerous,grasses
edible,bell,scaly,white,TRUE,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,black,scattered,meadows
edible,bell,smooth,yellow,TRUE,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,black,scattered,grasses
edible,bell,smooth,yellow,TRUE,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,black,scattered,meadows
edible,bell,scaly,yellow,TRUE,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,black,numerous,grasses
edible,convex,fibrous,brown,FALSE,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,o,pendant,brown,solitary,urban
edible,flat,scaly,brown,TRUE,anise,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,partial,white,o,pendant,brown,solitary,grasses
edible,convex,scaly,white,TRUE,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,scattered,grasses
edible,flat,scaly,yellow,TRUE,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,partial,white,o,pendant,brown,solitary,paths
edible,bell,smooth,white,TRUE,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,scattered,grasses
edible,bell,smooth,white,TRUE,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,black,scattered,meadows
edible,convex,scaly,brown,TRUE,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,partial,white,o,pendant,black,solitary,grasses
edible,bell,smooth,white,TRUE,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,black,scattered,grasses
edible,convex,fibrous,gray,FALSE,none,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,partial,white,o,pendant,brown,solitary,urban
edible,bell,smooth,yellow,TRUE,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,scattered,grasses
edible,convex,fibrous,yellow,TRUE,anise,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,white,white,partial,white,o,pendant,purple,several,woods
edible,bell,scaly,yellow,TRUE,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,black,scattered,grasses
edible,flat,scaly,yellow,TRUE,anise,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,partial,white,o,pendant,brown,scattered,grasses
edible,bell,scaly,white,TRUE,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,black,numerous,meadows
edible,bell,scaly,white,TRUE,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,black,numerous,meadows
edible,bell,scaly,yellow,TRUE,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,scattered,grasses
edible,convex,scaly,yellow,TRUE,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,numerous,meadows
edible,bell,smooth,yellow,TRUE,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,numerous,grasses
poisonous,convex,scaly,white,TRUE,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,o,pendant,brown,several,urban
edible,sunken,fibrous,brown,FALSE,none,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,partial,white,o,pendant,brown,solitary,urban
edible,flat,fibrous,brown,FALSE,none,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,partial,white,o,pendant,black,several,urban
edible,convex,smooth,yellow,TRUE,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,scattered,meadows
edible,flat,scaly,brown,TRUE,almond,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,partial,white,o,pendant,black,scattered,paths
poisonous,convex,scaly,white,TRUE,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,o,pendant,black,scattered,grasses
edible,bell,smooth,white,TRUE,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,scattered,meadows
edible,flat,fibrous,gray,FALSE,none,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,o,pendant,black,several,urban
edible,bell,scaly,yellow,TRUE,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,o,pendant,brown,numerous,grasses
